Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Number_correct,Number_incorrect,Number_unclassified,Percent_correct,Percent_incorrect,Percent_unclassified,Kappa_statistic,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,KB_information,KB_mean_information,KB_relative_information,True_positive_rate,Num_true_positives,False_positive_rate,Num_false_positives,True_negative_rate,Num_true_negatives,False_negative_rate,Num_false_negatives,IR_precision,IR_recall,F_measure,Matthews_correlation,Area_under_ROC,Area_under_PRC,Weighted_avg_true_positive_rate,Weighted_avg_false_positive_rate,Weighted_avg_true_negative_rate,Weighted_avg_false_negative_rate,Weighted_avg_IR_precision,Weighted_avg_IR_recall,Weighted_avg_F_measure,Weighted_avg_matthews_correlation,Weighted_avg_area_under_ROC,Weighted_avg_area_under_PRC,Unweighted_macro_avg_F_measure,Unweighted_micro_avg_F_measure,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureTreeSize,measureNumLeaves,measureNumRules,measureOutOfBagError,measureExtraArcs,measureMissingArcs,measureReversedArcs,measureDivergence,measureBayesScore,measureBDeuScore,measureMDLScore,measureAICScore,measureEntropyScore
stock,1,1,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2335.0,260.0,119.0,141.0,0.0,45.76923076923077,54.23076923076923,0.0,0.22221750753171804,0.29991379783671046,0.3881359594709676,80.59636633513772,89.98063240210742,515.9133159356038,1486.3992528261454,-970.4859368905416,1.9842819843677069,5.716920203177482,-3.7326382188097753,101.05350665269658,0.38866733327960223,5093.190297184211,0.25,15.0,0.005,1.0,0.995,199.0,0.75,45.0,0.9375,0.25,0.39473684210526316,0.4295382099074444,0.6899583333333333,0.43429563492063494,0.4576923076923077,0.24920916162489196,0.7507908383751081,0.5423076923076923,0.7866857241857242,0.4576923076923077,0.40335771229813994,0.36317755247524186,0.6748240424193672,0.43334734158043764,0.3897579065738359,0.4576923076923077,0.002,0.001,0.0,0.0,0.0,0.0,1684730.0,1358411.0,1215236.0,99.61538461538461,85.09615384615384,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,2,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2335.0,260.0,105.0,155.0,0.0,40.38461538461539,59.61538461538461,0.0,0.13940377551892033,0.30097642186507356,0.39157975816096063,80.88282070859152,90.78013663240247,515.8982232501871,2562.6389109525803,-2046.7406877023932,1.9842239355776428,9.85630350366377,-7.872079568086128,96.29412664438657,0.37036202555533293,4853.296420504415,0.22033898305084745,13.0,0.0,0.0,1.0,201.0,0.7796610169491526,46.0,1.0,0.22033898305084745,0.3611111111111111,0.42344325792850046,0.6688590943587149,0.4221339143790967,0.40384615384615385,0.2740398188001373,0.7259601811998628,0.5961538461538461,0.7472750977835725,0.40384615384615385,0.31486078125229067,0.2721694625208906,0.6763381639469233,0.42792144845811453,0.296386625690871,0.40384615384615385,0.003,0.0,0.0,0.0,0.0,0.0,1684730.0,1358411.0,1215236.0,99.23076923076923,84.51923076923077,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,3,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2335.0,260.0,109.0,151.0,0.0,41.92307692307692,58.07692307692308,0.0,0.1645564232970868,0.29836174710371777,0.3882820568111939,80.18016676439377,90.015628833249,515.8982232501871,1486.362581568815,-970.4643583186278,1.9842239355776428,5.7167791598800575,-3.7325552243024145,101.34938482495865,0.38980532624984093,5108.085235642669,0.2542372881355932,15.0,0.004975124378109453,1.0,0.9950248756218906,200.0,0.7457627118644068,44.0,0.9375,0.2542372881355932,0.39999999999999997,0.43443568424647316,0.6976136267813475,0.45333231076002756,0.41923076923076924,0.26623504034377693,0.7337649596562231,0.5807692307692308,0.7583030315754116,0.41923076923076924,0.34762254075286037,0.29311436732173074,0.6820560730452664,0.43955240732468975,0.3326726218110746,0.41923076923076924,0.003,0.0,0.0,0.0,0.0,0.0,1684730.0,1358411.0,1215236.0,99.61538461538461,84.32692307692308,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,4,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2335.0,260.0,107.0,153.0,0.0,41.15384615384615,58.84615384615385,0.0,0.15177619514691454,0.3076713650375328,0.39644342996579557,82.68198452653,91.907684167167,515.8982232501871,3641.927421923714,-3126.029198673527,1.9842239355776428,14.007413161245054,-12.02318922566741,88.5376608682719,0.34052946487796887,4462.364710557008,0.22033898305084745,13.0,0.009950248756218905,2.0,0.9900497512437811,199.0,0.7796610169491526,46.0,0.8666666666666667,0.22033898305084745,0.3513513513513513,0.37793563576304706,0.6729909773168058,0.393467850417003,0.4115384615384615,0.2698033170362535,0.7301966829637466,0.5884615384615385,0.7653527016617145,0.4115384615384615,0.32752509675586594,0.287216746876155,0.6590940690048781,0.4077185316991526,0.3097215097215097,0.4115384615384615,0.002,0.001,0.0,0.0,0.0,0.0,1684730.0,1358411.0,1215236.0,98.84615384615384,85.67307692307692,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,5,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2335.0,260.0,120.0,140.0,0.0,46.15384615384615,53.84615384615385,0.0,0.23151627749862774,0.2874372700818095,0.37921542699788946,77.21401295022028,87.87484056030293,516.3540674103045,398.99418112243103,117.35988628787351,1.9859771823473251,1.5345930043170424,0.45138417803028275,117.3837156378126,0.4514758293762023,5916.8085051463695,0.36666666666666664,22.0,0.0,0.0,1.0,200.0,0.6333333333333333,38.0,1.0,0.36666666666666664,0.5365853658536585,0.5550885058256204,0.7435,0.5378378378378378,0.46153846153846156,0.24366136656639448,0.7563386334336054,0.5384615384615384,0.8026453184824226,0.46153846153846156,0.4053529747052602,0.3705518009471089,0.7047895115247423,0.46684831416017414,0.39314407662009015,0.46153846153846156,0.003,0.0,0.0,0.0,0.0,0.0,1684730.0,1358411.0,1215236.0,100.0,82.88461538461539,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,6,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2336.0,259.0,111.0,148.0,0.0,42.857142857142854,57.142857142857146,0.0,0.17563818576743578,0.29465525334532316,0.3846881293833992,79.19569243159518,89.19711863334518,513.739566001319,408.5267809620528,105.21278503926618,1.9835504478815404,1.5773234786179644,0.406226969263576,105.2375963309666,0.4063227657566278,5303.855586351324,0.26666666666666666,16.0,0.0,0.0,1.0,199.0,0.7333333333333333,44.0,1.0,0.26666666666666666,0.4210526315789474,0.46731289764703715,0.707035175879397,0.4675799086757991,0.42857142857142855,0.26472962066182404,0.735270379338176,0.5714285714285714,0.7962732919254658,0.42857142857142855,0.35428640265358924,0.31889353841736634,0.6900853427411373,0.45008718564406475,0.33653126789419013,0.42857142857142855,0.003,0.0,0.0,0.0,0.0,0.0,1684730.0,1358480.0,1215167.0,100.0,83.97683397683397,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,7,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2336.0,259.0,112.0,147.0,0.0,43.24324324324324,56.75675675675676,0.0,0.18252673165285357,0.29120391446100974,0.38362826128593724,78.26806202400508,88.9513684445454,513.739566001319,1475.041247914405,-961.301681913086,1.9835504478815404,5.6951399533374705,-3.7115895054559305,110.51118175334904,0.42668409943378005,5569.638314936637,0.23333333333333334,14.0,0.0,0.0,1.0,199.0,0.7666666666666667,46.0,1.0,0.23333333333333334,0.37837837837837834,0.43534332373864365,0.7052763819095478,0.4492957746478873,0.43243243243243246,0.26231631512271997,0.7376836848772799,0.5675675675675675,0.770630290454079,0.43243243243243246,0.36738027794808514,0.32085481865581944,0.6972770353792769,0.45678896984827577,0.35181538843421495,0.43243243243243246,0.003,0.0,0.01,0.0,10.0,0.0,1684730.0,1358480.0,1215167.0,99.61389961389962,82.91505791505791,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,8,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2336.0,259.0,111.0,148.0,0.0,42.857142857142854,57.142857142857146,0.0,0.17719535492734018,0.2941569260062423,0.3893083881548963,79.06175496322142,90.26841181418376,513.739566001319,4693.419744914702,-4179.680178913383,1.9835504478815404,18.12131175642742,-16.13776130854588,106.6157042172914,0.4116436456266077,5373.3106619736445,0.21666666666666667,13.0,0.010050251256281407,2.0,0.9899497487437185,197.0,0.7833333333333333,47.0,0.8666666666666667,0.21666666666666667,0.3466666666666666,0.3731869456428002,0.6836264656616415,0.4040018489314264,0.42857142857142855,0.26285584500387327,0.7371441549961267,0.5714285714285714,0.7466771449072335,0.42857142857142855,0.3595380166808739,0.30762321637081447,0.6876143650846163,0.4385883406707031,0.3421681096681097,0.42857142857142855,0.002,0.0,0.0,0.0,0.0,0.0,1684730.0,1358480.0,1215167.0,98.45559845559846,82.43243243243244,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,9,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2336.0,259.0,115.0,144.0,0.0,44.4015444015444,55.5984555984556,0.0,0.19963947724200087,0.29817990691278495,0.38755534497297706,80.14302792515073,89.86193605181059,513.739566001319,1483.5050384153,-969.7654724139811,1.9835504478815404,5.727818681140155,-3.744268233258614,101.72366055055879,0.39275544614115365,5126.7572054610755,0.31666666666666665,19.0,0.0,0.0,1.0,199.0,0.6833333333333333,41.0,1.0,0.31666666666666665,0.4810126582278481,0.5124153046547736,0.7167085427135679,0.4988888888888889,0.444015444015444,0.2575747660493424,0.7424252339506577,0.555984555984556,0.7982710903064886,0.444015444015444,0.37466417964920035,0.336917083306622,0.6792446582097978,0.4362461141273455,0.359246913345487,0.444015444015444,0.003,0.0,0.0,0.0,0.0,0.0,1684730.0,1358480.0,1215167.0,99.61389961389962,84.65250965250965,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
stock,1,10,weka.classifiers.trees.J48,'-C 0.25 -M 2',-217733168393644444,2.01711291755E7,2336.0,259.0,121.0,138.0,0.0,46.71814671814672,53.28185328185328,0.0,0.23611882880957472,0.28873730628867744,0.3797658087101643,77.6051017002115,88.05578676603324,513.739566001319,398.06065652106685,115.67890948025212,1.9835504478815404,1.5369137317415709,0.4466367161399696,115.7014212296624,0.4467236340913606,5831.220502298374,0.2833333333333333,17.0,0.005025125628140704,1.0,0.9949748743718593,198.0,0.7166666666666667,43.0,0.9444444444444444,0.2833333333333333,0.4358974358974359,0.46172501496360707,0.7136934673366834,0.4805810397553517,0.4671814671814672,0.2462178922446361,0.7537821077553639,0.5328185328185329,0.7881643111000908,0.4671814671814672,0.41815248344660116,0.371260076685136,0.7004498825636735,0.4652008373251488,0.4069645550527904,0.4671814671814672,0.002,0.0,0.0,0.0,0.0,0.0,1684730.0,1358480.0,1215167.0,100.0,83.10810810810811,'Number of leaves: 2228\nSize of the tree: 2229\n',2229.0,2228.0,2228.0,?,?,?,?,?,?,?,?,?,?
